"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"60","13137090","濂樺企業有限公司","臺北市松山區復興北路421號1樓","","500000","0910710","1051012"
"61","13162442","誠泰豐企業有限公司","高雄市左營區文恩路106巷1號","","5000000","0910102","1051003"
"62","13164574","永深股份有限公司","臺北市信義區松德路159號2樓之1","","5000000","0910125","1051028"
"63","13169424","富家仲介有限公司","高雄市左營區博愛二路306號","","1000000","0910329","1051005"
"64","13178789","赫柏生物科技股份有限公司","臺中市南屯區向心里向心南路906巷53號2樓","","10000000","0910705","1051017"
"65","13194704","上霆貿易有限公司","高雄市苓雅區學源街23號1樓","","3000000","0911230","1051026"
"66","14083570","華榮圖書有限公司","臺北市中山區吉林路459之2號","","2000000","0650811","1051007"
"67","15941374","凱香野餐廳有限公司","臺北市萬華區民和街1號1樓","","500000","0720106","1051026"
"68","16038185","文華印刷事業有限公司","臺中市中區光復里平等街164號一樓","","2000000","0860618","1051019"
"69","16114182","宏通船務代理股份有限公司","高雄市苓雅區永平路1號5樓之1","","9000000","0860922","1051013"
"70","16147233","韋沃空間設計有限公司","臺北市大安區忠孝東路4段206號5樓","","1000000","0860815","1051019"
"71","16188888","怡德科技股份有限公司","臺中市南屯區溝墘里大容東街10巷11號1樓","","12000000","0860806","1051028"
"72","16191552","千輝塑膠有限公司","桃園市蘆竹區錦興里四鄰溪洲七○︱八號","","3000000","0860809","1051011"
"73","16208477","珈義有限公司","高雄市鳳山區忠義里中山西路364-17號6樓","","1000000","0860829","1050926"
"74","16229950","榮泰開發工業有限公司","新北市土城區中央路1段249巷10弄3號1樓","","1000000","0860927","1051026"
"75","16238310","蕾凱化粧品有限公司","臺南市中西區西湖里2鄰中華西路二段629巷40號","","1000000","0861008","1051024"
"76","16260987","達鴻開發工程有限公司","新北市土城區青雲路２９５巷１６弄９號１樓","","10000000","0861105","1051019"
"77","16274526","昱昕科技有限公司","桃園市龍潭區中山里中正路梨園巷79號","","10000000","0861122","1051027"
"78","16295352","卡奇諾廣告實業有限公司","新北市八里區龍米路1段133號5樓","","10000000","0870102","1051020"
"79","16309861","苔邦股份有限公司","臺北市內湖區基湖路10巷48號2樓","","15000000","0870302","1051018"
"80","16328396","台灣工銀證券投資顧問股份有限公司","臺北市內湖區堤頂大道2段99號6樓","","20000000","0870422","1051018"
"81","16361752","麗隆工程有限公司","高雄市梓官區通安路42號","","1000000","0870109","1050926"
"82","16380006","瓏捷企業有限公司","屏東縣內埔鄉內埔村光華街12號8樓之1","","5000000","0870212","1051027"
"83","16389219","申二行銷有限公司","高雄市岡山區碧紅里後興北路七號","","3000000","0870226","1050926"
"84","16415547","藍風影視有限公司","桃園市中壢區元生３街１３７號２樓","","1000000","0870331","1051025"
"85","16424026","弘基工程有限公司","臺中市大里區東湖里公園街391號1樓","","500000","0870410","1051025"
"86","16425566","富雅實業有限公司","彰化縣和美鎮新庄里慶東街82巷2號","","1000000","0870414","1051026"
"87","16454935","遊戲天王科技有限公司","高雄市楠梓區興楠路203巷37弄16號1樓","","3500000","0870513","1051018"
"88","16455765","松醇實業股份有限公司","高雄市前金區文東里中山二路505號11樓","","1000000","0870519","1051024"
"89","16474329","上佰禾有限公司","高雄市三民區鼎中路751巷12弄22號","","1200000","0871222","1051013"
"90","16524600","普士德有限公司","臺北市中山區龍江路384巷1號4樓","","5000000","0870611","1051013"
"91","16529273","聖主國際企業有限公司","新北市板橋區民生路3段174號","","5000000","0870618","1051014"
"92","16532685","統俊企業有限公司","桃園市平鎮區建安里金陵路四段483號2樓","","5000000","0870622","1051004"
"93","16536649","淺水灣水上摩托車有限公司","新北市三重區永清里三和路4段390巷14號4樓","","1000000","0870626","1051011"
"94","16654265","翊迅工程有限公司","新北市汐止區汐萬路3段199巷3弄8號","","3000000","0870914","1051003"
"95","16698545","華濱有限公司","臺中市東區十甲路三七三之一號一樓","","1000000","0871118","1051018"
"96","16717655","崎盛工程企業有限公司","高雄市林園區王公里仁愛路269巷9號","","6000000","0871221","1051006"
"97","16760857","旭翎企業有限公司","臺北市文山區樟新街48巷9號5樓","","5000000","0871104","1051006"
"98","16800422","三軸開發企業有限公司","高雄市苓雅區福人里三多一路151巷21號1樓","","5000000","0880409","1051007"
"99","16801338","日祥機械工程有限公司","高雄市楠梓區朝明路183巷4號1樓","","5000000","0880417","1050922"
"100","16805242","準提晶舍有限公司","高雄市苓雅區中山2路489號7樓之2","","700000","0880528","1051021"
"101","16809161","亞寶國際有限公司","高雄市鼓山區華豐里明倫路128之6號12樓","","2500000","0880719","1051017"
"102","16822896","信全水電工程有限公司","高雄市前鎮區公正路66號","","10000000","0890125","1050927"
"103","16836343","巨佑自動化科技股份有限公司","臺北市松山區復興北路99號11樓","","40000000","0880212","1051019"
"104","16875909","通豪美食股份有限公司","桃園市龜山區頂湖路59號1樓","","4600000","0880322","1051003"
"105","16881120","保順興業有限公司","花蓮縣花蓮市民運里民享三街48號","","3000000","0880330","1051026"
"106","16893477","企盛布業有限公司","新北市三重區成功路73巷21號","","2500000","0880416","1051003"
"107","16939740","德泰鋅板企業有限公司","彰化縣二林鎮西庄里二溪路七段2巷306號","","6000000","0880611","1051007"
